
Pattern no. 1 - euclidean, starttime : 2019-05-25 23:31:05.614184

Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.1       1.53-1.75            2.28 / 0.02s            0.15        1.64        2.28        2.27

Sample no.2        0.45-0.7            0.53 / 0.02s            2.29        0.73        0.53        0.58

Sample no.3        2.23-2.8            2.32 / 0.02s            2.96        2.97        2.32        2.30

Sample no.4       3.48-3.65            3.56 / 0.02s            1.52        2.49        3.56        3.56

Sample no.5       1.36-1.55            3.5 / 0.02s             2.77        0.37        3.50        1.38

Sample no.6       2.79-3.25            3.31 / 0.02s            1.30        1.79        3.31        2.86

Sample no.7       2.20-2.70            0.2 / 0.01s             1.55        1.55        0.20        2.19

Sample no.8       1.25-1.65            1.33 / 0.01s            0.61        0.61        1.33        1.33

Sample no.9       0.83-1.35            0.92 / 0.01s            0.19        0.19        0.92        0.92

Sample no.10       0.93-1.45            1.01 / 0.01s            1.55        0.29        1.01        0.99

Pattern no. 1 - fastdtw, starttime : 2019-05-25 23:31:06.312251

Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.1       1.53-1.75           1.95 / 12.17s            1.62        0.54        1.95        1.59

Sample no.2        0.45-0.7           0.52 / 21.15s            0.17        0.21        0.52        0.53

Sample no.3        2.23-2.8           2.33 / 20.07s            1.46        1.50        2.33        2.31

Sample no.4       3.48-3.65           3.54 / 21.32s            3.87        2.49        3.54        3.52

Sample no.5       1.36-1.55            3.5 / 20.75s            2.67        2.71        3.50        1.36

Sample no.6       2.79-3.25            3.2 / 20.07s            2.94        2.93        3.20        2.89

Sample no.7       2.20-2.70           0.22 / 12.83s            1.76        1.88        0.22        2.20

Sample no.8       1.25-1.65           1.35 / 16.28s            0.53        0.58        1.35        1.35

Sample no.9       0.83-1.35           0.92 / 13.51s            0.13        0.18        0.92        0.92

Sample no.10       0.93-1.45           1.03 / 12.95s            0.28        0.28        1.03        1.00

Pattern no. 2 - euclidean, starttime : 2019-05-25 23:55:41.137767

